,0,1,2
380,European Literature (Italian Literature) ,None,
381,Classics (Modern Classics) ,None,
382,M M Romance (M M Contemporary) ,Romance,Queer
383,Manga (Yaoi) ,None,
384,Yaoi (Shounen Ai) ,None,
385,Cultural (Portugal) ,None,
386,European Literature (Portuguese Literature) ,None,
387,Environment (Sustainability) ,None,
388,Amish,None,
389,Horror (Splatterpunk) ,Horror,
390,American (Americana) ,None,
391,Science (Natural History) ,Historical,
392,Music (Punk) ,None,
393,Cultural (Spain) ,None,
394,Computers (Internet) ,Speculative,
395,Philosophy (Metaphysics) ,None,
396,Queer (Queer Lit) ,Queer,
397,Cultural (International) ,None,
398,Doctors,None,
399,Culture (Cultural Studies) ,None,
400,Role Playing Games (Mmorpg) ,None,
401,European Literature (Irish Literature) ,None,
402,European Literature (Scandinavian Literature) ,None,
403,Social Movements (Social Justice) ,None,
404,African Literature (Egyptian Literature) ,None,
405,Education,None,
406,Football,None,
407,Fantasy (Heroic Fantasy) ,Fantasy,
408,Paranormal (Esp) ,Paranormal,
409,Canon,None,
410,Psychology (Growth Mindset) ,None,
411,Childrens (Young Readers) ,Childrens,
412,Animals (Rabbits) ,None,
413,Childrens (2nd Grade) ,Childrens,
414,Transport,None,
415,Number (Counting) ,None,
416,Parenting (Adoption) ,None,
417,Holiday (Halloween) ,None,
418,Design,None,
419,Romantic,Romance,
420,Mystery (Cozy Mystery) ,Mystery,
421,Womens Fiction,None,
422,Science (Pseudoscience) ,None,
423,Animals (Wolves) ,None,
424,Warfare (Fighters) ,War,
425,Religion (Taoism) ,None,
426,Romance (Love Story) ,Romance,
427,Business (Google) ,None,
428,Fantasy (Low Fantasy) ,Fantasy,
429,Political Science (International Relations) ,None,
430,Religion (Atheism) ,None,
431,Emergency Services (Police) ,None,
432,History (Ancient History) ,Historical,
433,Egypt (Alexandria) ,None,
434,Fantasy (Fantasy Of Manners) ,Fantasy,
435,Marvel (Spider Man) ,None,
436,Fantasy (Comic Fantasy) ,Fantasy,
437,Fairy Tales (Princesses) ,Fantasy,
438,Fan Fiction (Slash Fiction) ,None,
439,M M Paranormal (M M Shapeshifters) ,Paranormal,
440,Travel (Road Trip) ,None,
441,Southern Africa (South Africa) ,None,
442,American (Southern) ,None,
443,Literature (Canadian Literature) ,None,
444,Female Authors,None,
445,Cultural (Brazil) ,None,
446,Cultural (Israel) ,None,
447,Genderqueer (Genderfluid) ,Queer,
448,Art (Art Design) ,None,
449,Cultural (Counter Culture) ,None,
450,LGBT (Bisexual) ,Queer,
451,Comics Bd,None,
452,Social Science,None,
453,Occult,Paranormal,
454,Computer Science (Technical) ,None,
455,Folklore,Fantasy,
456,Cultural (Bulgaria) ,None,
457,Harlequin (Harlequin Teen) ,None,
458,Nobel Prize,None,
459,Social,None,
460,Religion (Islam) ,None,
461,Mathematics (Number) ,None,
462,Cultural (Belgium) ,None,
463,Literature (18th Century) ,Historical,
464,Lds (Lds Fiction) ,None,
465,Plays (Theatre) ,None,
466,Health (Medicine) ,None,
