,url,publication_dt,byline,book_title,book_author,summary,uuid,uri,isbn13
5,http://www.nytimes.com/1991/01/31/books/books-of-the-times-an-editor-on-a-dying-paper-a-traveling-banker.html,1991-01-31,,Rumor Has It,Charles Dickinson,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780688102258']
0,http://www.nytimes.com/2009/03/01/books/review/Bock-t.html,2009-03-01,CHARLES BOCK,Lowboy,John Wray,"In this gripping novel, a disturbed boy with a subway fixation thinks he has 10 hours to save the world.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780374194161']
1,http://www.nytimes.com/2001/05/20/books/a-bird-s-eye-view-of-hell.html,2001-05-20,CAREY HARRISON,The Right Hand of Sleep,John Wray,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780375406515']
2,http://www.nytimes.com/2005/07/10/books/review/10LIPSYTE.html,2005-07-10,SAM LIPSYTE,Canaan's Tongue,John Wray,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781400040865']
3,http://www.nytimes.com/2016/02/21/books/review/the-lost-time-accidents-by-john-wray.html,2016-02-21,CHARLES YU,The Lost Time Accidents,John Wray,A fictional physicist’s theories about temporality haunt his family’s succeeding generations. ,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780374281137']
0,https://www.nytimes.com/2018/11/13/books/review/kiese-laymon-heavy.html,2018-11-13,SAEED JONES,Heavy: An American Memoir,Kiese Laymon,"Kiese Laymon’s memoir, “Heavy,” is a son’s unflinching portrait of a mother whose violent love and exacting expectations were meant to protect him from harm.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781501125652']
1,https://www.nytimes.com/2021/01/04/books/review/how-to-slowly-kill-yourself-and-others-in-america-kiese-laymon.html,2021-01-04,Jerald Walker,How to Slowly Kill Yourself and Others in America,Kiese Laymon,"A contentious publishing experience left Laymon unsatisfied with his 2013 collection, “How to Slowly Kill Yourself and Others in America.” Now he’s back with Take 2.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781982170820']
0,http://www.nytimes.com/2010/07/04/books/review/Lipsyte-t.html,2010-07-04,SAM LIPSYTE,Wilson,Daniel Clowes,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781770460072']
1,http://www.nytimes.com/2000/11/26/books/after-wham-pow-shazam.html,2000-11-26,DAVE EGGERS,David Boring,Daniel Clowes,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780375406928']
0,https://www.nytimes.com/2020/08/15/books/review/hope-larson-all-together-now.html,2020-08-15,Victoria Jamieson,All Together Now,Hope Larson,"In Hope Larson’s graphic novel “All Together Now,” an eighth-grade singer-songwriter struggles to find her voice after the band she started breaks up.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780374313654']
0,http://www.nytimes.com/1994/11/13/books/children-s-books-the-queen-and-the-mathematician.html,1994-11-13,MARY BREASTED,Librarian Who Measured the Earth,Kathryn Lasky,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780316515269']
1,http://www.nytimes.com/1990/06/24/books/children-s-books-dinosaurs-plus-309390.html,1990-06-24,JON R. LUOMA,Traces of Life : The Origins of Humankind,Kathryn Lasky,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780688072377']
2,http://www.nytimes.com/1988/12/18/books/children-s-books-144788.html,1988-12-18,SUSAN TERRIS,Bone Wars,Kathryn Lasky,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780140341683']
3,http://www.nytimes.com/1994/12/25/books/l-catching-prime-numbers-179523.html,1994-12-25,,Librarian Who Measured the Earth,Kathryn Lasky,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780316515269']
4,http://www.nytimes.com/1997/11/16/books/children-s-books-a-nice-jewish-lumberjack.html,1997-11-16,MEG WOLITZER,Marven of the Great North Woods,Kathryn Lasky,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781404640672']
5,http://www.nytimes.com/1986/11/09/books/children-s-books-wanting-the-world-to-be-different.html,1986-11-09,CYNTHIA SAMUELS,Pageant,Kathryn Lasky,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780027517200']
6,http://www.nytimes.com/1995/11/12/books/the-bird-ladies-of-boston.html,1995-11-12,KAREN LEGGETT,She's Wearing a Dead Bird on Her Head!,Kathryn Lasky,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781442050822']
7,http://www.nytimes.com/2014/01/12/books/review/a-hundred-horses-and-horses-of-the-dawn.html,2014-01-12,JILLIAN DUNHAM,HORSES OF THE DAWN: The Escape,Kathryn Lasky,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780545397162']
0,http://www.nytimes.com/2010/09/19/books/review/Itzkoff-t.html,2010-09-19,DAVE ITZKOFF,Our Tragic Universe,Scarlett Thomas,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780151013913']
1,http://www.nytimes.com/2006/10/29/books/review/Cowles.t.html,2006-10-29,GREGORY COWLES,The End of Mr. Y,Scarlett Thomas,"In Scarlett Thomas’s novel of ideas, a book offers entry into a new dimension.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780156031615']
2,http://www.nytimes.com/2016/05/22/books/review/the-seed-collectors-by-scarlett-thomas.html,2016-05-20,NAOMI NOVIK,The Seed Collectors,Scarlett Thomas,Botany and desire intertwine in a novel about relatives who receive a curious inheritance. ,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781593766467']
3,https://www.nytimes.com/2020/01/14/books/review/scarlett-thomas-oligarchy.html,2020-01-14,LYDIA MILLET,Oligarchy,Scarlett Thomas,"In Scarlett Thomas’s new novel, “Oligarchy,” the skinny girls rule the roost.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781640093065']
0,http://query.nytimes.com/gst/fullpage.html?res=9906E2D71F3AF935A1575AC0A9669D8B63,2010-09-26,CHARLES YU,Scott Pilgrim's Finest Hour,Bryan Lee O'malley,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9780606150835', '9781934964385']"
0,http://www.nytimes.com/2003/03/16/books/instead-of-potatoes.html,2003-03-16,CLAIRE DEDERER,All Over Creation,Ruth Ozeki,,00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9781440650048']
1,http://www.nytimes.com/2013/05/12/books/review/a-tale-for-the-time-being-by-ruth-ozeki.html,2013-05-12,LESLEY DOWNER,Tale for the Time Being,Ruth Ozeki,"A diary washes ashore, linking a teenager in Japan and an author in Canada in Ruth Ozeki’s latest novel.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,"['9780143124870', '9780670026630', '9780857867988', '9781101606254']"
2,http://www.nytimes.com/2013/04/02/books/a-tale-for-the-time-being-by-ruth-ozeki.html,2013-04-02,LISA SCHWARZBAUM,A Tale for the Time Being,Ruth Ozeki,"In Ruth Ozeki’s “Tale for the Time Being,” a teenage Japanese girl’s diary washes ashore off the Canadian coast and is found by an introspective novelist.",00000000-0000-0000-0000-000000000000,nyt://book/00000000-0000-0000-0000-000000000000,['9780143124870']
